entity_id,name,hq,n_assets,lei,cik
E100001014874,NGL Energy Partners LP,United States,3,5299005YSRP46BE8Z459,1504461
E100001015850,Plains GP Holdings LP,United States,3,549300O56BSKRD8FAM12,1581990
E100000001137,Alphabet Inc,United States,3,5493006MHB84DD0ZWV18,1652044
E100002002945,abrdn PLC,United Kingdom,3,0TMBS544NMO7GLCE7H90,
E100000001303,TexGen Power LLC,United States,3,5493003XDLS9LCQ3SY55,
E100000000353,Seaboard Corp,United States,3,87Q3KOXT29OW9W9YPT70,88121
E100001014582,Diamondback Energy Inc,United States,3,549300R22LSX6OHWEN64,1539838
E100000001265,New Fortress Energy Inc,United States,3,254900EICTYTCHA5X705,1749723
E100000001307,The Procter & Gamble Co,United States,3,2572IBTT8CCZW6AU4141,80424
E100000001905,Wacker Chemie AG,Germany,2,0NURKC5Q3CJYZPPK5046,
E100002016647,Mohawk Industries Inc,United States,2,549300JI1115MG3Q6322,851968
E100002016630,KBC Groep NV,Belgium,2,213800X3Q9LSAKRUWY91,
E100002005176,Breedon Group PLC,United Kingdom,2,213800DQGNQE3X76WS92,
E100002006768,Hoffman Green Cement Technologies SA,France,2,9695000ETCC5C2IUVB29,
E100001014363,Delek Logistics Partners LP,United States,2,549300UVYITDIU51P724,1552797
E100000000991,BKW AG,Switzerland,2,549300IE30SKTUO98Q38,
E100002016305,BKV Corp,United States,2,549300S3T4Z01TRFU656,1838406
E100000149640,Savannah Energy PLC,United Kingdom,2,2138002YCJORSFH5YR43,
E100001015543,New Jersey Resources Corp,United States,2,549300QKBSQBIX4DQ583,356309
E100000001260,Morgan Stanley ,United States,2,IGJSJL3JD5P30I6NJZ34,751478
E100000131604,Ferroglobe PLC,United Kingdom,2,2138005GCFJACFTZUD90,
E100000000741,LyondellBasell Industries NV,United Kingdom,2,BN6WCCZ8OVP3ITUUVN49,
E100001012038,Par Pacific Holdings Inc,United States,2,549300BTNS7MHSHRLR55,821483
E100001014347,CHS Inc,United States,2,XEIEFTLYDQ1MZ6TZV015,
E100000000747,Stellantis NV,Netherlands,2,549300LKT9PW7ZIBDF31,
E100002016955,DigitalBridge Group Inc,United States,2,549300XG87L902AGBO89,1679688
E100001014694,Equitrans Midstream Corp,United States,2,549300RH0NLJNZ5SXU64,
E100001015325,Spire Inc,United States,2,549300NXSY15DRY2R511,1126956
E100001015290,MasTec Inc,United States,2,549300TMDIT8WREDOF45,15615
E100001016091,EQT Corp,United States,2,4NT01YGM4X7ZX86ISY52,33213
E100001000937,Microsoft Corp,United States,2,INR2EJN1ERAN0W5ZP974,789019
E100001016206,Apollo Global Management Inc,United States,2,254900LMFT1CY9IYB476,1858681
E100000132496,Altri SGPS SA,Portugal,2,213800AKSTYRLHY3X497,
E100001010234,Goldman Sachs Group Inc,United States,2,784F5XWPLTWKTBV3E584,886982
E100002002980,Holmen AB,Sweden,2,52990080SH3454F0QE68,
E100000000424,Linde PLC,United Kingdom,2,5299003QR1WT0EF88V51,
E100000001271,Olin Corp,United States,2,549300GKK294V7W57P06,74303
E100001014067,Aker BP ASA,Norway,2,549300NFTY73920OYK69,
E100000001895,Siemens Energy AG,Germany,2,5299005CHJZ14D4FDJ62,
E100000000368,Neste Oyj,Finland,2,5493009GY1X8GQ66AM14,
E100000001873,Mercedes-Benz Group AG,Germany,2,529900R27DL06UVNT076,
E100001016841,Sylvamo Corp,United States,2,5493001AOYU1ZOWOC971,1856485
E100000001122,SDCL Energy Efficiency Income Trust PLC,United Kingdom,2,213800ZPSC7XUVD3NL94,
E100000002326,SunCoke Energy Inc,United States,2,1KF1J2NXQE2PI0QOB943,1514705
E100000001379,Antin Infrastructure Partners SAS,France,2,2138004PVNAV1E9SZP35,
E100001015606,OKEA ASA,Norway,2,549300H385IGBB58CN91,
E100001014677,Energean PLC,United Kingdom,1,549300RVMKU0CYUZBB05,
E100002019782,DNB Bank ASA,Norway,1,549300GKFG0RYRRQ1414,
E100001014954,EOG Resources Inc,United States,1,XWTZDRYZPBUHIQBKDB46,821189
E100002007205,Martin Marietta Materials Inc,United States,1,5299005MZ4WZECVATV08,916076
E100001015137,FTAI Infrastructure Inc,United States,1,,1899883
E100001014154,Etablissements Maurel & Prom SA,France,1,969500ZTYI9C1C594X25,
E100002006269,Peab AB,Sweden,1,549300FQS4VD3153I854,
E100000155483,Atmos Energy Corp,United States,1,QVLWEGTD2S8GJMO8D383,731802
E100001014568,BlueNord ASA,Norway,1,5967007LIEEXZXGE3C16,
E100001014572,Delek US Holdings Inc,United States,1,5493003O53JMENV1N385,1694426
E100001014952,HitecVision AS,Norway,1,549300EZZVN3X88FFF47,
E100002007792,Compagnie De Saint-Gobain SA,France,1,NFONVGN05Z0FMN5PEC35,
E100001014793,Gas Plus SpA,Italy,1,815600CF7B5169BBF109,
E100002005151,DNO ASA,Norway,1,5967007LIEEXZXH3K072,
E100000001212,Exelon Corp,United States,1,3SOUA6IRML7435B56G12,1109357
E100002017760,Summit Midstream Corp,United States,1,,2024218
E100002017821,Banco Santander SA,Spain,1,5493006QMFDDMYWIAM13,
E100001011690,Eversource Energy ,United States,1,SJ7XXD41SQU3ZNWUJ746,72741
E100000001126,Tate & Lyle PLC,United Kingdom,1,2138008K14474WPKZ244,
E100001011003,Caterpillar Inc,United States,1,WRJR7GS4GTRECRRTVX92,18230
E100002018551,GE Vernova Inc,United States,1,254900DP080RU6OK2553,1996810
E100000003609,NET Power Inc,United States,1,,1845437
E100002007946,Excelerate Energy Inc,United States,1,254900J6DPU4HB368I65,1888447
E100000000773,Wärtsilä Oyj,Finland,1,743700G7A9J1PHM3X223,
E100002005662,Eastman Chemical Co,United States,1,FDPVHDGJ1IQZFK9KH630,915389
E100000120426,Eramet SA,France,1,549300LUH78PG2MP6N64,
E100002016367,Greenidge Generation Holdings Inc,United States,1,,1844971
E100000000051,Tessenderlo Group ,Belgium,1,549300ZKLIF7RP6EH823,
E100000152186,Heineken NV,Netherlands,1,724500K5PTPSST86UQ23,
E100000001975,Avio SpA,Italy,1,8156008F25C4B0E7C860,
E100000001977,ERG SpA,Italy,1,8156004604684CA44A90,
E100000002474,AstraZeneca PLC,United Kingdom,1,PY6ZZQWO2IZFZC3IOL08,
E100002000725,Starwood Real Estate Income Trust Inc,United States,1,5493001K8NJSB0VWJ635,
E100000000397,Bertelsmann SE & Co KGaA,Germany,1,5299001BUUGXAREGE533,
E100000001880,Henkel AG & Co. KGaA,Germany,1,549300VZCL1HTH4O4Y49,
E100000001195,Dupont Inc,United States,1,5493004JF0SDFLM8GD76,1666700
E100002004703,DCC PLC,Ireland,1,213800UPS1QEE4TD3T45,
E100000001215,FMC Corp,United States,1,CKDHZ2X64EEBQCSP7013,37785
E100002001024,Porsche Automobil Holding SE,Germany,1,52990053Z17ZYM1KFV27,
E100001015007,Ferrovial SE,Netherlands,1,72450022R2ZFL41Y6I04,
E100002016943,Maire SpA,Italy,1,815600D85A61200A1B83,
E100000131654,Hallador Energy Co,United States,1,254900GKEQRHOI2SSC19,788965
E100002009022,Sonoco Products Co,United States,1,GKOMIK4RDJGHEF0VNP11,91767
E100002009177,HMS Bergbau AG,Germany,1,5299004BSTX10BXHV941,
E100001016504,Synthesis Energy Systems Inc,United States,1,5493002R28ZAJ5JZY011,1375063
E100000131392,Bisichi PLC,United Kingdom,1,213800RRWN6ZBPW2ZV03,
E100002003989,Rana Gruber ASA,Norway,1,5493003MBTQHX9VNKN13,
E100000131012,Metallus Inc,United States,1,549300QZTZWHDE9HJL14,1598428
E100000130755,Leggett & Platt Inc,United States,1,DKOVQUCDW4ZLYCUD4T55,
