subject,party,party_name,bucket,residual
E100002005869,E100002005870,UV Asset Reconstruction,build-out,False
E100002011944,E100000001143,ArcLight Capital Partners,build-out,False
E100001011696,E100000004351,YTL Power International,build-out,False
E100001011690,E100001000348,BlackRock,build-out,False
E100002015372,E100001015587,small shareholder(s),build-out,True
E100000120779,E100001015587,small shareholder(s),build-out,True
E100002007205,E100001015587,small shareholder(s),build-out,True
E100002015418,E100002015419,Shahbulag Mining,build-out,False
E100002018956,E100002018957,Sibur-RT,build-out,False
E100001015656,E100000001764,Pan American Energy,build-out,False
E100002015987,E100000000013,YPF,build-out,False
E100001011696,E100000123261,natural person(s),build-out,True
E100002022649,E100001001143,PT Indo Tambangraya Megah,build-out,False
E100002004127,E100000123261,natural person(s),build-out,True
E100002005858,E100002005864,Egypt Kuwait Holding Company,build-out,False
E100002006462,E100002017441,Ministry of Defense (Egypt),build-out,False
E100002020992,E100002003379,The Trustee for Zhu Family Trust,build-out,False
E100001014280,E100001015587,small shareholder(s),build-out,True
E100002019210,E100002021576,Fonte GreenMet Investments Fund OEIC,build-out,False
E100002016569,E100002017160,Constantia Industries,build-out,False
E100002015751,E100000123261,natural person(s),build-out,True
E100002017474,E100002017475,QR Partners,build-out,False
E100002022727,E100000001332,Petróleos de Venezuela,build-out,False
E100002005990,E100002005993,Titan Cement Netherlands,build-out,False
E100002017696,E100002017701,Twins (Scot),build-out,False
E100002006867,E100000123261,natural person(s),build-out,True
E100002006449,E100002006450,Lori Trading,build-out,False
E100002015575,E100002015492,Inversiones Aspi,build-out,False
E100001014401,E100001000099,Government of Sri Lanka,build-out,False
E100002016729,E100001015587,small shareholder(s),build-out,True
E100002015790,E100002006251,Ciments Calcia,build-out,False
E100002015578,E100002015580,Shaanxi Xiangsheng Group,build-out,False
E100000001169,E100002016340,Solar Projects,build-out,False
E100002015499,E100000123261,natural person(s),build-out,True
E100001015883,E100001015884,Star Petroleum Refining,build-out,False
E100001016448,E100002021899,Endeavour Trade and Investment,build-out,False
E100000003541,E100002024946,PBF Energy Western Region,build-out,False
E100002006775,E100002006777,SZV Unternehmensbeteiligungs,build-out,False
E100002016001,E100000002660,Cengiz Enerji Sanayii ve Ticaret,build-out,False
E100000120754,E100000123261,natural person(s),build-out,True
E100001016438,E100000123261,natural person(s),build-out,True
E100002001361,E100001014426,Enterprise Products Operating,build-out,False
E100002024072,E100002024074,Abdul Lateef Mohsin Al Geetan,build-out,False
E100000131029,E100000123261,natural person(s),build-out,True
E100002006343,E100001000932,Taiheiyo Cement,build-out,False
E100001015564,E100000002496,BP Europa,build-out,False
E100002007139,E100001015587,small shareholder(s),build-out,True
E100002010594,E100002001974,member/employee owned,build-out,False
E100000001523,E100000000111,Emera,build-out,False
E100002016952,E100001014866,Government of China,build-out,False
E100001016083,E100001010428,JP Morgan Nominees Australia,build-out,False
E100002019719,E100002022242,FINCO I,build-out,False
E100000001361,E100000123261,natural person(s),build-out,True
E100000190258,E100002025106,Erechim Energia - Investimentos e Participacoes,build-out,False
E100000132220,E100000123261,natural person(s),build-out,True
E100001015160,E100002022127,Symphony Financial Partners,build-out,False
E100002011842,E100000123261,natural person(s),build-out,True
E100000131908,E100000120034,Agritrade Resources,build-out,False
E100000120838,E100002009039,U.P. Rajya Vidyut Utpadan Nigam,build-out,False
E100002021813,E100001015587,small shareholder(s),build-out,True
E100002007314,E100002007316,Egyptian Federation for Construction & Building Contractors,build-out,False
E100002016705,E100000123261,natural person(s),build-out,True
E100000003493,E100002019610,Big Pelican,build-out,False
E100002006131,E100001015587,small shareholder(s),build-out,True
E100001010674,E100002024165,Aéroports de Paris,build-out,False
E100002007373,E100002007532,Amir Kabir Tourist Complex,build-out,False
E100002005586,E100000001358,Public Investment Fund (Saudi Arabia),build-out,False
E100000002409,E100001015587,small shareholder(s),build-out,True
E100002011840,E100001016899,Mitsui E&S,build-out,False
E100002019761,E100002022386,Midocean Energy Holdings,build-out,False
E100000003415,E100002024832,Kindle Energy,build-out,False
E100002008972,E100002017156,RLC Industries,build-out,False
E100001014222,E100000001096,BP,build-out,False
E100002015989,E100000123261,natural person(s),build-out,True
E100002007380,E100001000932,Taiheiyo Cement,build-out,False
E100002015697,E100000123261,natural person(s),build-out,True
E100002005175,E100002007691,Aggregate Industries Holdings,build-out,False
E100000001177,E100001014543,Capital Research Global Investors,build-out,False
E100000132308,E100001013557,PT TBS Energi Utama,build-out,False
E100001015906,E100002004084,Grupo Popular,build-out,False
E100001013034,E100000123261,natural person(s),build-out,True
E100001000202,E100002002715,Atvos Agroindustrial Participações,build-out,False
E100001010816,E100002021786,Zweckverband Oberschwäbische Elektrizitätswerke,build-out,False
E100002002606,E100001015587,small shareholder(s),build-out,True
E100000150163,E100002016619,Aspiravi Holding,build-out,False
E100000190260,E100002024816,GN Verde Participações,build-out,False
E100000000005,E100000189189,Cnooc International,build-out,False
E100001011053,E100001015587,small shareholder(s),build-out,True
E100002016278,E100000001384,Ares Management,build-out,False
E100002006955,E100000000806,Aboitiz Equity Ventures,build-out,False
E100001015599,E100001014648,ALPS Advisors,build-out,False
E100001015645,E100000000851,Government of Romania,build-out,False
E100000001616,E100000000671,Samruk-Kazyna,build-out,False
E100001014700,E100000188471,ExxonMobil Australia,build-out,False
E100002004332,E100002004334,Dow Investment Argentina,build-out,False
E100000001689,E100001011087,Sumitomo Metal Mining,build-out,False
E100001011703,E100001015587,small shareholder(s),build-out,True
E100002017044,E100001015569,European Diversified Infrastructure Fund II,build-out,False
E100002015626,E100000123261,natural person(s),build-out,True
E100002007199,E100002007206,Berger Slovakia,build-out,False
E100001014370,E100002022128,Disvol Generación,build-out,False
E100002015833,E100000123261,natural person(s),build-out,True
E100002004539,E100002016408,Ministry of Finance (Russia),build-out,False
E100002006068,E100000121281,Shree Cement,build-out,False
E100002007065,E100001000571,Holcim,build-out,False
E100001015128,E100001015131,OTP Banka,build-out,False
E100000002328,E100001010595,The Vanguard Group,build-out,False
E100002003763,E100002003764,Melrose Private Capital,build-out,False
E100000002497,E100002004300,Brookfield Asset Management,build-out,False
E100002006269,E100002006272,AB Axel Granlund,build-out,False
E100002015797,E100000123261,natural person(s),build-out,True
E100002019305,E100002019306,CU,build-out,False
E100002010829,E100002010830,PT Duta Pertiwi Nusantara,build-out,False
E100000125234,E100000125331,Three Gorges Technology,build-out,False
E100002006958,E100002006064,Reliance Group Nepal,build-out,False
E100001000313,E100001000311,Government of Brazil,build-out,False
E100002017726,E100002017727,SWG Finco,build-out,False
E100002023166,E100001015587,small shareholder(s),build-out,True
E100000002087,E100001015587,small shareholder(s),build-out,True
E100002004318,E100002016535,Kazakhstan Petrochemicals,build-out,False
E100002005910,E100002005911,ASAMER Baustoff Holding Wien,build-out,False
E100001015944,E100000000610,Eni,build-out,False
E100002005572,E100001015587,small shareholder(s),build-out,True
E100000188824,E100000189040,Truong Thanh Viet Nam,build-out,False
E100002004998,E100002005001,Misr Insurance Holding,build-out,False
E100000126073,E100002022275,Gold Stone Enterprise,build-out,False
E100002016254,E100001014294,Energy Transfer,build-out,False
E100002005937,E100001015587,small shareholder(s),build-out,True
E100002007197,E100002007695,Mannok Build Holdings,build-out,False
E100001010063,E100002021743,EP Investment S.à r.l.,build-out,False
E100000131678,E100002017525,Chearsley Investments,build-out,False
E100001010196,E100002015327,SMBC Trust Bank,build-out,False
E100000121583,E100002017201,Daiwa CM Singapore,build-out,False
E100002024162,E100000123261,natural person(s),build-out,True
E100002006109,E100002006110,Cemos Group,build-out,False
E100000190226,E100000123261,natural person(s),build-out,True
E100002015561,E100002017033,Seshasayee Paper and Boards,build-out,False
E100001001389,E100001016832,ReEnergy Holdings,build-out,False
E100000120378,E100001015587,small shareholder(s),build-out,True
E100000003082,E100002024680,TOBI Gaskraftwerksbeteiligungs,build-out,False
E100002006419,E100002006398,Groupe industriel des ciments d'Algérie,build-out,False
E100002024982,E100000123261,natural person(s),build-out,True
E100002005585,E100002005586,Eastern Province Cement Company,build-out,False
E100002017756,E100000003551,PT Medco Power Indonesia,build-out,False
E100002016665,E100002016589,FGV Palm Industries,build-out,False
E100001015653,E100002004372,Sakhalin Project,build-out,False
E100001010465,E100000002579,China General Nuclear Power New Energy Holdings,build-out,False
E100002005943,E100002005944,West China Cement,build-out,False
E100000120556,E100000186569,Koloğlu Holding,build-out,False
E100000000050,E100002022283,DME Advisors,build-out,False
E100000190162,E100000123261,natural person(s),build-out,True
E100002005791,E100000123261,natural person(s),build-out,True
E100002007280,E100001000268,CEMROS,build-out,False
E100000152139,E100002017061,City of Rome,build-out,False
E100001015543,E100001015587,small shareholder(s),build-out,True
E100001015806,E100001014505,Enagás,build-out,False
E100002006262,E100000120487,Gecamines,build-out,False
E100002000918,E100001015587,small shareholder(s),build-out,True
E100001016062,E100000001194,Duke Energy,build-out,False
E100000130756,E100000136525,Toyota Tsusho America,build-out,False
E100002009674,E100002009676,Q Global Commodities,build-out,False
E100002001076,E100002022446,Starwood Capital Group Holdings,build-out,False
E100001010039,E100001013271,PT Petrindo Jaya Kreasi,build-out,False
E100001015913,E100002007681,Elf Petroleum Uk,build-out,False
E100002018874,E100000188387,Keppel,build-out,False
E100002016566,E100000123261,natural person(s),build-out,True
E100001015300,E100002018983,Ecofin Sustainable and Social Impact Term Fund,build-out,False
E100002005808,E100002005811,Sardar Mohammad Ashraf d Baluch,build-out,False
E100001015374,E100000000684,Achemos Grupe,build-out,False
E100000003440,E100001015587,small shareholder(s),build-out,True
E100001016143,E100001010271,Metalúrgica Gerdau,build-out,False
E100002007314,E100002007319,Kuwaiti Egyptian Investment Company,build-out,False
E100002016957,E100001000277,Government of Taiwan,build-out,False
E100000003357,E100000000553,Arian MahTaab Gostar,build-out,False
E100002025166,E100001014815,Molgas Energy Holding,build-out,False
E100002016257,E100002016917,3S Holding,build-out,False
E100000191876,E100001000089,Canada Pension Plan Investment,build-out,False
E100000002891,E100002024890,Vertex Bioenergy Solutions,build-out,False
E100000001422,E100000000273,State Power Investment,build-out,False
E100002008799,E100001000558,Adani Power,build-out,False
E100000132361,E100000123261,natural person(s),build-out,True
E100002000015,E100002016399,RT-Invest Finance,build-out,False
E100002009305,E100002011943,Mirae Asset Securities,build-out,False
E100002006976,E100002006979,HEX2M Energy Holdings,build-out,False
E100002017161,E100002017164,Dato Mah Pooi Soo Realty,build-out,False
E100001014053,E100000123261,natural person(s),build-out,True
E100000002661,E100000133932,African Infrastructure Investment Managers,build-out,False
E100002006014,E100002005786,Vietnam Cement Industry,build-out,False
E100000001241,E100001014543,Capital Research Global Investors,build-out,False
E100002024954,E100002024955,Capital Power Investments,build-out,False
E100002016121,E100002016122,Ullico Investment Advisors,build-out,False
E100001000427,E100002022000,Ghadir International Industries and Mines Development,build-out,False
E100001016091,E100001000348,BlackRock,build-out,False
E100002006377,E100002005937,Cementos Molins,build-out,False
E100002016612,E100000123261,natural person(s),build-out,True
E100002015367,E100000187501,Greenko Energies,build-out,False
E100000133209,E100002016958,Yao-Hwa Glass Co Ltd Administration Committee,build-out,False
E100002024697,E100002024698,GS Inima Environment,build-out,False
E100002010440,E100000123261,natural person(s),build-out,True
E100000152472,E100001015587,small shareholder(s),build-out,True
E100000001139,E100001010595,The Vanguard Group,build-out,False
E100001013005,E100001013006,Arnot HoldCo,build-out,False
E100001015857,E100002022134,Sizewell C,build-out,False
E100002006164,E100002006166,Siam City Cement,build-out,False
E100001000702,E100000123261,natural person(s),build-out,True
E100000150340,E100002016166,CVC Capital Partners,build-out,False
E100001014572,E100001000348,BlackRock,build-out,False
E100002018826,E100001015587,small shareholder(s),build-out,True
E100002022537,E100002022758,Press Metal International Resources (HK),build-out,False
E100002005586,E100001015587,small shareholder(s),build-out,True
E100002015830,E100001000281,Government of Venezuela,build-out,False
E100001014153,E100001014155,Gabon Oil,build-out,False
E100001014132,E100000000676,Kuwait Investment Authority,build-out,False
E100002005413,E100002001366,The Shell Petroleum,build-out,False
E100002017445,E100002017451,Smolokowski Foundation,build-out,False
E100000132554,E100001000065,Bioenergia Barra,build-out,False
E100002007015,E100001015587,small shareholder(s),build-out,True
E100000151245,E100002017239,Primary Energy,build-out,False
E100002017815,E100002017816,Golf BidCo,build-out,False
E100002016242,E100000123261,natural person(s),build-out,True
E100002017156,E100000123261,natural person(s),build-out,True
E100000003182,E100001010043,Constellation Energy Generation,build-out,False
E100002021959,E100000001077,Abu Dhabi Investment Authority,build-out,False
E100002005702,E100002005704,Titan Cement International,build-out,False
E100002005181,E100000123261,natural person(s),build-out,True
E100002023984,E100002023985,Coastline Holding France,build-out,False
E100000127431,E100000123697,Linyi Mining Group,build-out,False
E100002009382,E100000136729,Enovos Luxembourg,build-out,False
E100000131287,E100002009259,Sharp Victory Holdings,build-out,False
E100002025121,E100002024862,Solví Participações,build-out,False
E100000001624,E100000000563,Pasargad Financial Group,build-out,False
E100001015098,E100001015587,small shareholder(s),build-out,True
E100002007453,E100000123261,natural person(s),build-out,True
E100000190317,E100002024578,Mandacaru Comercial,build-out,False
E100000000360,E100001015587,small shareholder(s),build-out,True
E100001010711,E100001010712,Privado Holdings,build-out,False
E100000125324,E100000125345,China Merchants Wealth Asset Management,build-out,False
E100000190179,E100000123261,natural person(s),build-out,True
E100002024279,E100002024278,Beijing Enterprises Investment,build-out,False
E100002013914,E100000000549,Social Security Investment Company (Iran),build-out,False
