entity_id,coal_mw,gas_mw,bio_mw,vintage,blank_rule,name,fossil_mw,thermal_mw,fossil_share,coal_share
E100000001015,1205.8,1243.0,0.0,March 2025,zero,Formosa Plastics,2448.8,2448.8,1.0,0.49240444299248604
E100000001016,1045.8,52.0,0.0,March 2025,zero,Nan Ya Plastics,1097.8,1097.8,1.0,0.9526325378028785
E100000001017,48.0,1401.4,0.0,March 2025,zero,Taiwan Cogeneration,1449.4,1449.4,1.0,0.03311715192493445
E100000001023,0.0,2563.34,0.0,March 2025,zero,B.Grimm Power,2563.34,2563.34,1.0,0.0
E100000001029,600.57,4586.8,0.0,March 2025,zero,Global Power Synergy,5187.37,5187.37,1.0,0.11577543148069254
E100000001030,0.0,5863.18,0.0,March 2025,zero,Gulf Energy Development,5863.18,5863.18,1.0,0.0
E100000001032,0.0,30.86,0.0,March 2025,zero,Italian-Thai Development,30.86,30.86,1.0,0.0
E100000001035,0.0,19.25,0.0,March 2025,zero,PTT,19.25,19.25,1.0,0.0
E100000001044,0.0,104.6,0.0,March 2025,zero,National Enterprises,104.6,104.6,1.0,0.0
E100000001057,225.0,889.7,0.0,March 2025,zero,Hacı Ömer Sabancı Holding,1114.7,1114.7,1.0,0.20184803086032116
E100000001063,0.0,112.0,0.0,March 2025,zero,Koç Holding,112.0,112.0,1.0,0.0
E100000001069,0.0,226.0,0.0,March 2025,zero,Petkim Petrokimya Holding,226.0,226.0,1.0,0.0
E100000001071,0.0,239.22,0.0,March 2025,zero,Turcas Petrol,239.22,239.22,1.0,0.0
E100000001072,0.0,265.83,0.0,March 2025,zero,Türkiye İş Bankasi,265.83,265.83,1.0,0.0
E100000001078,250.0,7633.55,0.0,March 2025,zero,Abu Dhabi National Energy Company,7883.55,7883.55,1.0,0.03171160200671017
E100000001096,0.0,1805.93,152.72,March 2025,zero,BP,1805.93,1958.65,0.9220279273989738,0.0
E100000001101,0.0,627.0,0.0,March 2025,zero,Centrica,627.0,627.0,1.0,0.0
E100000001103,0.0,384.0,0.0,March 2025,zero,DS Smith,384.0,384.0,1.0,0.0
E100000001104,0.0,96.0,2580.0,March 2025,zero,Drax Group,96.0,2676.0,0.03587443946188341,0.0
E100000001116,0.0,3480.4,0.0,March 2025,zero,National Grid,3480.4,3480.4,1.0,0.0
E100000001119,0.0,678.0,0.0,March 2025,zero,Rio Tinto,678.0,678.0,1.0,0.0
E100000001123,0.0,6146.8,0.0,March 2025,zero,SSE,6146.8,6146.8,1.0,0.0
E100000001126,0.0,65.0,0.0,March 2025,zero,Tate & Lyle,65.0,65.0,1.0,0.0
E100000001132,0.0,1779.96,0.0,March 2025,zero,Air Products and Chemicals,1779.96,1779.96,1.0,0.0
E100000001133,0.0,62.0,0.0,March 2025,zero,Algonquin Power & Utilities,62.0,62.0,1.0,0.0
E100000001135,1739.02,4509.88,0.0,March 2025,zero,Alliant Energy,6248.9,6248.9,1.0,0.2782921794235786
E100000001137,0.0,0.0,0.0,March 2025,zero,Alphabet,0.0,0.0,,
E100000001139,3488.8,3502.4,0.0,March 2025,zero,Ameren,6991.200000000001,6991.200000000001,1.0,0.4990273486668955
E100000001140,10661.27,7678.5,0.0,March 2025,zero,American Electric Power Company,18339.77,18339.77,1.0,0.5813197221121094
E100000001155,8314.89,6113.82,0.0,March 2025,zero,Berkshire Hathaway,14428.71,14428.71,1.0,0.5762739704381057
E100000001157,413.88,200.0,0.0,March 2025,zero,Black Hills,613.88,613.88,1.0,0.674203427379944
E100000001158,1300.0,1901.45,0.0,March 2025,zero,Blackstone,3201.45,3201.45,1.0,0.4060660013431414
E100000001163,1888.32,4927.5,0.0,March 2025,zero,Cleco Corporate Holdings,6815.82,6815.82,1.0,0.27704956997103797
E100000001164,1514.03,3845.0,64.5,March 2025,zero,CMS Energy,5359.03,5423.53,0.9881073765610221,0.2825194111620946
E100000001169,0.0,623.0,0.0,March 2025,zero,California Resources,623.0,623.0,1.0,0.0
E100000001173,0.0,7723.84,0.0,March 2025,zero,Carlyle Group,7723.84,7723.84,1.0,0.0
E100000001177,530.4,0.0,0.0,March 2025,zero,CenterPoint Energy,530.4,530.4,1.0,1.0
E100000001179,0.0,794.3,0.0,March 2025,zero,Chevron,794.3,794.3,1.0,0.0
E100000001186,0.0,716.0,0.0,March 2025,zero,Consolidated Edison,716.0,716.0,1.0,0.0
E100000001193,3387.1,9153.0,213.0,March 2025,zero,Dominion Energy,12540.1,12753.1,0.9832981784820946,0.27010151434199087
E100000001194,10383.7,22982.71,0.0,March 2025,zero,Duke Energy,33366.41,33366.41,1.0,0.31120219406283145
E100000001195,0.0,143.8,0.0,March 2025,zero,Dupont,143.8,143.8,1.0,0.0
E100000001198,0.0,1286.0,0.0,March 2025,zero,Edison International,1286.0,1286.0,1.0,0.0
E100000001209,1757.79,20704.7,0.0,March 2025,zero,Entergy,22462.49,22462.49,1.0,0.07825445887788932
E100000001210,3045.56,4300.4,0.0,March 2025,zero,Evergy,7345.959999999999,7345.959999999999,1.0,0.4145897881284407
E100000001212,0.0,1925.0,0.0,March 2025,zero,Exelon,1925.0,1925.0,1.0,0.0
E100000001213,0.0,1970.01,0.0,March 2025,zero,Exxon Mobil,1970.01,1970.01,1.0,0.0
E100000001220,167.13,62.41,0.0,March 2025,zero,FreePort-McMoran,229.54,229.54,1.0,0.7281083906944323
E100000001223,0.0,2609.64,0.0,March 2025,zero,General Electric,2609.64,2609.64,1.0,0.0
E100000001235,666.96,671.0,0.0,March 2025,zero,IDACORP,1337.96,1337.96,1.0,0.49849023887111726
E100000001237,673.05,1058.53,212.75,March 2025,zero,ITOCHU,1731.58,1944.33,0.8905792740944182,0.38869125307522606
E100000001241,0.0,171.7,1067.2,March 2025,zero,International Paper,171.7,1238.9,0.13859068528533375,0.0
E100000001247,662.84,1937.8,0.0,March 2025,zero,KKR & Co.,2600.64,2600.64,1.0,0.25487572289897875
E100000001250,241.87,176.0,0.0,March 2025,zero,MDU Resources Group,417.87,417.87,1.0,0.5788163782994711
E100000001251,323.49,407.13,0.0,March 2025,zero,MGE Energy,730.62,730.62,1.0,0.44276094276094274
E100000001254,0.0,973.95,0.0,March 2025,zero,Marathon Petroleum,973.95,973.95,1.0,0.0
E100000001260,0.0,825.95,0.0,March 2025,zero,Morgan Stanley,825.95,825.95,1.0,0.0
E100000001262,7408.0,7761.4,0.0,March 2025,zero,NRG Energy,15169.4,15169.4,1.0,0.48835154983058
E100000001265,0.0,270.0,0.0,March 2025,zero,New Fortress Energy,270.0,270.0,1.0,0.0
E100000001267,472.75,27708.1,0.0,March 2025,zero,NextEra Energy,28180.85,28180.85,1.0,0.01677557632221881
E100000001268,1387.0,877.0,0.0,March 2025,zero,NiSource,2264.0,2264.0,1.0,0.6126325088339223
E100000001269,2060.0,5541.39,0.0,March 2025,zero,OGE Energy,7601.39,7601.39,1.0,0.2710030665444083
E100000001270,0.0,1781.66,0.0,March 2025,zero,Occidental Petroleum,1781.66,1781.66,1.0,0.0
E100000001275,0.0,284.0,0.0,March 2025,zero,PBF Energy,284.0,284.0,1.0,0.0
E100000001277,212.71,717.5,0.0,March 2025,zero,PNM Resources,930.21,930.21,1.0,0.22866879521828404
E100000001278,4948.36,2296.53,0.0,March 2025,zero,PPL,7244.889999999999,7244.889999999999,1.0,0.6830138207757468
E100000001282,0.0,631.0,0.0,March 2025,zero,Phillips 66,631.0,631.0,1.0,0.0
E100000001283,998.57,4324.4,0.0,March 2025,zero,Pinnacle West Capital,5322.969999999999,5322.969999999999,1.0,0.1875963982513522
E100000001293,0.0,1827.0,0.0,March 2025,zero,Sempra Energy,1827.0,1827.0,1.0,0.0
E100000001305,3549.2,6646.56,0.0,March 2025,zero,AES,10195.76,10195.76,1.0,0.3481054869867474
E100000001306,0.0,2069.0,0.0,March 2025,zero,The Dow Chemical Company,2069.0,2069.0,1.0,0.0
E100000001307,0.0,168.0,0.0,March 2025,zero,The Procter & Gamble,168.0,168.0,1.0,0.0
