entity_id,status
E100001010229,in old vintage only
E100001010250,in old vintage only
E100001010253,in old vintage only
E100001010284,in old vintage only
E100001010285,in old vintage only
E100001010292,in old vintage only
E100001010337,in old vintage only
E100001010340,in old vintage only
E100001010344,in old vintage only
E100001010362,in old vintage only
E100001010372,in old vintage only
E100001010385,in old vintage only
E100001010390,in old vintage only
E100001010399,in old vintage only
E100001010400,in old vintage only
E100001010415,in old vintage only
E100001010430,in old vintage only
E100001010437,in old vintage only
E100001010450,in old vintage only
E100001010460,in old vintage only
E100001010478,in old vintage only
E100001010479,in old vintage only
E100001010480,in old vintage only
E100001010491,in old vintage only
E100001010575,in old vintage only
E100001010576,in old vintage only
E100001010672,in old vintage only
E100001010683,in old vintage only
E100001010710,in old vintage only
E100001010750,in old vintage only
E100001010767,in old vintage only
E100001010796,in old vintage only
E100001010797,in old vintage only
E100001010825,in old vintage only
E100001010830,in old vintage only
E100001010847,in old vintage only
E100001010877,in old vintage only
E100001010899,in old vintage only
E100001010905,in old vintage only
E100001010920,in old vintage only
E100001010924,in old vintage only
E100001010929,in old vintage only
E100001010935,in old vintage only
E100001011051,in old vintage only
E100001011062,in old vintage only
E100001011070,in old vintage only
E100001011099,in old vintage only
E100001011123,in old vintage only
E100001011142,in old vintage only
E100001011207,in old vintage only
E100001011208,in old vintage only
E100001011209,in old vintage only
E100001011221,in old vintage only
E100001011225,in old vintage only
E100001011249,in old vintage only
E100001011295,in old vintage only
E100001011314,in old vintage only
E100001011359,in old vintage only
E100001011370,in old vintage only
E100001011375,in old vintage only
E100001011386,in old vintage only
E100001011402,in old vintage only
E100001011405,in old vintage only
E100001011573,in old vintage only
E100001011574,in old vintage only
E100001011592,in old vintage only
E100001011605,in old vintage only
E100001011606,in old vintage only
E100001011626,in old vintage only
E100001011664,in old vintage only
E100001011761,in old vintage only
E100001011818,in old vintage only
E100001011836,in old vintage only
E100001011868,in old vintage only
E100001011916,in old vintage only
E100001011982,in old vintage only
E100001011983,in old vintage only
E100001011984,in old vintage only
E100001011992,in old vintage only
E100001012007,in old vintage only
E100001012008,in old vintage only
E100001012049,in old vintage only
E100001012050,in old vintage only
E100001012051,in old vintage only
E100001012052,in old vintage only
E100001012053,in old vintage only
E100001012055,in old vintage only
E100001012212,in old vintage only
E100001012213,in old vintage only
E100001012492,in old vintage only
E100001012493,in old vintage only
E100001012803,in old vintage only
E100001012962,in old vintage only
E100001012966,in old vintage only
E100001012967,in old vintage only
E100001012976,in old vintage only
E100001012987,in old vintage only
E100001012989,in old vintage only
E100001013025,in old vintage only
E100001013039,in old vintage only
E100001013068,in old vintage only
E100001013115,in old vintage only
E100001013124,in old vintage only
E100001013138,in old vintage only
E100001013139,in old vintage only
E100001013156,in old vintage only
E100001013158,in old vintage only
E100001013163,in old vintage only
E100001013175,in old vintage only
E100001013180,in old vintage only
E100001013201,in old vintage only
E100001013202,in old vintage only
E100001013224,in old vintage only
E100001013232,in old vintage only
E100001013235,in old vintage only
E100001013249,in old vintage only
E100001013253,in old vintage only
E100001013254,in old vintage only
E100001013255,in old vintage only
E100001013256,in old vintage only
E100001013257,in old vintage only
E100001013258,in old vintage only
E100001013263,in old vintage only
E100001013264,in old vintage only
E100001013265,in old vintage only
E100001013275,in old vintage only
E100001013286,in old vintage only
E100001013307,in old vintage only
E100001013308,in old vintage only
E100001013309,in old vintage only
E100001013310,in old vintage only
E100001013317,in old vintage only
E100001013318,in old vintage only
E100001013320,in old vintage only
E100001013342,in old vintage only
E100001013347,in old vintage only
E100001013348,in old vintage only
E100001013355,in old vintage only
E100001013366,in old vintage only
E100001013388,in old vintage only
E100001013389,in old vintage only
E100001013391,in old vintage only
E100001013392,in old vintage only
E100001013393,in old vintage only
E100001013400,in old vintage only
E100001013406,in old vintage only
E100001013409,in old vintage only
E100001013425,in old vintage only
E100001013427,in old vintage only
E100001013435,in old vintage only
E100001013461,in old vintage only
E100001013462,in old vintage only
E100001013463,in old vintage only
E100001013466,in old vintage only
E100001013472,in old vintage only
E100001013475,in old vintage only
E100001013476,in old vintage only
E100001013477,in old vintage only
E100001013492,in old vintage only
E100001013494,in old vintage only
E100001013496,in old vintage only
E100001013509,in old vintage only
E100001013521,in old vintage only
E100001013526,in old vintage only
E100001013541,in old vintage only
E100001013548,in old vintage only
E100001013549,in old vintage only
E100001013550,in old vintage only
E100001013578,in old vintage only
E100001013616,in old vintage only
E100001013621,in old vintage only
E100001013641,in old vintage only
E100001013665,in old vintage only
